Nablus,32.214446,35.276314
Ramallah,31.910648641499296,35.210267184649354
Lod,31.951170568133062,34.887757847203005
Jericho,31.861438865815494,35.461589867164186
Jerusalem,31.769150755128344,35.21381533227198
Bethlehem,31.699001382906857,35.21529666958602
Hebron,31.532568585729628,35.10214745771744
Jafa,32.09134680309471,34.798582149232146
Um-Khaled,32.32528830945079,34.87033496800938
Jenin,32.462455108731746,35.295132068565124
Nazareth,32.70695195980622,35.2891914804791
Haifa,32.79574265303834,34.9898018387957
Acre,32.928587763256225,35.07641201892984
Safad,32.963618626836436,35.510251900693405
Rafah,31.29210363121462,34.24749460417251
